"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009074","aromatic amino acid family catabolic process","3/88","16/18888",0.1875,40.2443181818182,10.7441414465939,5.23756917793853e-05,0.0857390074428537,0.0810996237973429,"FAH/IDO1/KYNU",3
"GO:0042537","benzene-containing compound metabolic process","3/88","26/18888",0.115384615384615,24.7657342657343,8.29636674719139,0.000235113485180223,0.144628368670909,0.136802450126938,"FAH/IDO1/KYNU",3
"GO:0009072","aromatic amino acid metabolic process","3/88","32/18888",0.09375,20.1221590909091,7.40680708091143,0.00043955842091363,0.144628368670909,0.136802450126938,"FAH/IDO1/KYNU",3
"GO:0051304","chromosome separation","4/88","81/18888",0.0493827160493827,10.5993265993266,5.92335029573901,0.00055677197839508,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/RECQL5/ZWILCH",4
"GO:0007059","chromosome segregation","8/88","423/18888",0.0189125295508274,4.05931656995487,4.35375361678017,0.000797287057698036,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/HAUS1/RECQL5/SETDB2/SMARCA2/SYCP2/ZWILCH",8
"GO:0030071","regulation of mitotic metaphase/anaphase transition","4/88","90/18888",0.0444444444444444,9.53939393939394,5.55566924926995,0.000828335204213791,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/SMARCA2/ZWILCH",4
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle","4/88","93/18888",0.043010752688172,9.2316715542522,5.4444278201824,0.000936540632934172,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/SMARCA2/ZWILCH",4
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle","4/88","94/18888",0.0425531914893617,9.13346228239845,5.40846064871879,0.000974718232290215,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/SMARCA2/ZWILCH",4
"GO:0044784","metaphase/anaphase transition of cell cycle","4/88","97/18888",0.0412371134020619,8.85098406747891,5.30369960852982,0.00109581175566548,0.144628368670909,0.136802450126938,"CDC16/DLGAP5/SMARCA2/ZWILCH",4
"GO:1904037","positive regulation of epithelial cell apoptotic process","3/88","44/18888",0.0681818181818182,14.6342975206612,6.19464550940086,0.00112731620194286,0.144628368670909,0.136802450126938,"EIF2S1/JAK2/PLA2R1",3
"GO:0000338","protein deneddylation","2/88","11/18888",0.181818181818182,39.0247933884298,8.63059265242697,0.00114854538345866,0.144628368670909,0.136802450126938,"COPS3/COPS4",2
"GO:0006568","tryptophan metabolic process","2/88","11/18888",0.181818181818182,39.0247933884298,8.63059265242697,0.00114854538345866,0.144628368670909,0.136802450126938,"IDO1/KYNU",2
"GO:0070189","kynurenine metabolic process","2/88","11/18888",0.181818181818182,39.0247933884298,8.63059265242697,0.00114854538345866,0.144628368670909,0.136802450126938,"IDO1/KYNU",2
"GO:0000727","double-strand break repair via break-induced replication","2/88","12/18888",0.166666666666667,35.7727272727273,8.24362627158612,0.00137408329750544,0.154835272677129,0.146457053086877,"MCM6/MCMDC2",2
"GO:0033045","regulation of sister chromatid segregation","4/88","104/18888",0.0384615384615385,8.25524475524475,5.07596477231467,0.0014187715883671,0.154835272677129,0.146457053086877,"CDC16/DLGAP5/SMARCA2/ZWILCH",4
"GO:0006586","indolalkylamine metabolic process","2/88","13/18888",0.153846153846154,33.020979020979,7.90144831551195,0.00161900368153938,0.15700031496222,0.148504943773543,"IDO1/KYNU",2
"GO:1901796","regulation of signal transduction by p53 class mediator","4/88","108/18888",0.037037037037037,7.94949494949495,4.95520046787467,0.00163042477358444,0.15700031496222,0.148504943773543,"COPS3/PLA2R1/RRM2B/TRIM24",4
"GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","3/88","52/18888",0.0576923076923077,12.3828671328671,5.62345079055332,0.0018313408739845,0.162246100594113,0.153466877133357,"ATP9A/COPA/COPG2",3
"GO:0045842","positive regulation of mitotic metaphase/anaphase transition","2/88","14/18888",0.142857142857143,30.6623376623377,7.5959363774403,0.00188312517488585,0.162246100594113,0.153466877133357,"CDC16/DLGAP5",2
"GO:1904035","regulation of epithelial cell apoptotic process","4/88","115/18888",0.0347826086956522,7.46561264822134,4.75812299774556,0.00205206148030452,0.167961232162925,0.158872759869892,"EIF2S1/JAK2/PLA2R1/UMODL1",4
"GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","2/88","15/18888",0.133333333333333,28.6181818181818,7.32089445250435,0.00216626765268563,0.16886572130697,0.159728306621582,"CDC16/DLGAP5",2
"GO:0021904","dorsal/ventral neural tube patterning","2/88","16/18888",0.125,26.8295454545455,7.07150239122856,0.00246825221852938,0.179489675682693,0.169777393132008,"PTCH1/WDR19",2
"GO:0010965","regulation of mitotic sister chromatid separation","3/88","59/18888",0.0508474576271186,10.9137134052388,5.21786260802314,0.00263149188539074,0.179489675682693,0.169777393132008,"CDC16/DLGAP5/ZWILCH",3
"GO:0045604","regulation of epidermal cell differentiation","3/88","59/18888",0.0508474576271186,10.9137134052388,5.21786260802314,0.00263149188539074,0.179489675682693,0.169777393132008,"NCOA3/PTCH1/ROCK2",3
